"Site","Building","Floor","Area","Description","Room Number","Room Barcode","Room Type","Cost Centre","Department"
"St. Cross","RUG-ESTATES OFFICES","G","RVE","Hard FM Store (RUG)","RVE00026","RVE00026","Not Defined",,"RUG - ESTATES"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Phlebotomy Waiting Room","RCB00025","RCB00025","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Phelobotomy","RCB00027","RCB00027","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Clinic Room 2","RCB00028","RCB00028","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Clinic Room 3","RCB00029","RCB00029","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G",,"Not in Use","NOTinUSE","NO BARCODE","Not Defined",,"DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Surgical Secretarys Office","RCB00036","RCB00036","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Phlebotomy Waiting Room","RCB00026","RCB00026","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Store","RCB00030","RCB00030","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Sisters Office","RCB00034","RCB00034","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Male Change THEATRE R ","RCB00039","RCB00039","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Male Staff Change WC","RCB00041","RCB00041","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","Male Staff Change Shower","RCB00040","RCB00040","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","THEATRE R4 Anaesthetic Room","RCB00045","RCB00045","Not Defined",,"RUG - DAY SURGERY"
"St. Cross","RUG-DAY SURGERY/THEATRE 4","G","RCB","THEATRE R4 Scrub Up","RCB00044","RCB00044","Not Defined",,"RUG - DAY SURGERY"
